id	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	ARO Category	ARO Accession	ARO Name
GQ343019|ARO:3002999	ACT97415.1	GQ343019	CblA beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3002999	NA
HQ845196|ARO:3001109	AEJ08681.1	HQ845196	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001109	NA
AF028812|ARO:3002867	AAD01868.1	AF028812	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	NA	ARO:3002867	NA
JX017365|ARO:3001989	AFJ59957.1	JX017365	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001989	NA
JN967644|ARO:3002356	AEX08599.1	JN967644	NDM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3002356	NA
LC004922|ARO:3001855	BAP68758.1	LC004922	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001855	NA
AF135373|ARO:3002244	AAF61417.1	AF135373	CARB beta-lactamase	penam	antibiotic inactivation	NA	ARO:3002244	NA
AY234334|ARO:3000600	AAP74657.1	AY234334	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration	NA	ARO:3000600	NA
AY628199|ARO:3000988	AAT45742.1	AY628199	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000988	NA
EU408351|ARO:3002511	ACH58990.1	EU408351	subclass B3 LRA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002511	NA
AF157553|ARO:3000938	AAF19151.1	AF157553	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000938	NA
AF062386|ARO:3000928	AAD45935.1	AF062386	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000928	NA
